,,,,,Product ID,Product Category,Product Subcategory,Product Name,Order Date,Month,Year,Wholesale Price,Retail Price,Order Quantity, Total (Before Tax),Tax Due,Order Total,Payment Method,Order Status,Order ID,Customer ID,Product Description,Product Size,Product Weight
,,,,,1049,Mountain Bikes,Cross Country,TrailBlazer 1000,01/01/22,1,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1059,E-Bikes,City,UrbanEco 1000,01/01/22,1,2022," 1,460 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",Credit Card,Shipped,2061,3061,Eco-friendly electric city bike,M,35
TOTAL Q1 SALES,,,,,1065,Mountain Bikes,Cross Country,TrailBlazer 1000,01/01/22,1,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,2022,2023,% Increase,,1050,Mountain Bikes,Cross Country,TrailBlazer 2000,01/02/22,1,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
," $330,500 "," $453,830 ",37.32%,,1060,E-Bikes,City,UrbanEco 2000,01/02/22,1,2022," 1,825 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",PayPal,Processing,2062,3062,High-performance electric city bike,L,33
,,,,,1066,Mountain Bikes,Cross Country,TrailBlazer 2000,01/02/22,1,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1051,Road Bikes,Racing,SpeedMaster 1000,01/03/22,1,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1067,Road Bikes,Racing,SpeedMaster 1000,01/03/22,1,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
Q1 MONTHLY TOTALS,,,,,1052,Road Bikes,Racing,SpeedMaster 2000,01/04/22,1,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,2022,2023,% Increase,,1068,Road Bikes,Racing,SpeedMaster 2000,01/04/22,1,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
January," $101,595 "," $143,555 ",41.30%,,1053,Touring Bikes,Long Distance,Explorer 1000,01/05/22,1,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
February," $113,445 "," $145,535 ",28.29%,,1069,Touring Bikes,Long Distance,Explorer 1000,01/05/22,1,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
March," $115,460 "," $164,740 ",42.68%,,1054,Touring Bikes,Long Distance,Explorer 2000,01/06/22,1,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1070,Touring Bikes,Long Distance,Explorer 2000,01/06/22,1,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1071,Mountain Bikes,Downhill,GravityMaster 1000,01/07/22,1,2022," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1072,Mountain Bikes,Downhill,GravityMaster 2000,01/08/22,1,2022," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1061,Road Bikes,Cyclocross,CrossRider 1000,01/13/22,1,2022," 1,292 "," 1,900 ",3," 5,700 ", 285 ," 5,985 ",Credit Card,Cancelled,2043,3043,Versatile cyclocross bike,M,21
